tweet;sentiment
kuota boros sekolah tidak subsidi kuota;negative
males banget sekolah online;negative
asik nonton netflix sekolah online indihome mati;negative
bebel sekolah online;negative
sekolah online bajingan;negative
bolos sekolah online;negative
benci sekolah gasuka metode ajar online;negative
ga semangat sekolah online;negative
gasuka sekolah online;negative
gila saya sekolah online;negative
guru lelah;negative
guru ku gantung sekolah kalau sekolah ku online resiko;negative
harga jatuh semenjak sekolah online akibat contek melulu;negative
ini sekolah online kayak ngelunjak bocah jamet;negative
iri saya lihat sekolah online pinter;negative
kabur dari sekolah online;negative
males sekolah online hanya tidur;negative
ngerasanya sekolah online lelah;negative
ngrasa capek banget gas sekolah daring gini;negative
persetan sekolah online;negative
tidak pilih sekolah online ayo sekolah offline saja butuh uang jajan biar nabung;negative
saya dah muak sekolah online gakuat;negative
saya kalau sekolah online tidak paham sama materi;negative
saya nyerah sekolah online;negative
saya sudah capek gara gara sekolah online;negative
sebagai guru pusing ngajar pas sekolah online murid tidak paham orang tua murid ngeluh;negative
sekolah daring saya tolol;negative
sekolah memberikan materi tugas imbang pas daring engga imbang tugas materi;negative
sekolah online capek stress ngelebihin sekolah offline;negative
sekolah online gak benar;negative
sekolah online gak seru;negative
sekolah online guru ngilang kabar;negative
sekolah online hancur niat serius ajar;negative
benar banget sekolah online riweuh;negative
benar banget sekolah online siksa;negative
sekolah online ku bangkrut;negative
sekolah online mager banget;negative
sekolah online makin goblok;negative
sekolah online stress;negative
sekolah online guru ngasi tugas enak anjing;negative
serba salah emang sekolah online;negative
setuju karena sekarang pandemi gamau sekolah online;negative
stress sekolah online melulu;negative
sudah muak sekolah online;negative
sumpah tidak semangat sekolah online pagi;negative
sumpah tugas sekolah online tuh ga ngotak;negative
tekanan batin sekolah online;negative
guru tua tidak melek teknologi sulit ajar online;negative
tidak suka sekolah online;negative
sistem daring kendala kuota;negative
bosen banget sekolah online ga mengerti;negative
capek banget ngajarin adek yang gak mengerti karena sekolah online;negative
capek sekolah online guru senyum asli gedek pengen cepat lulus;negative
tidak paham materi sekolah online;negative
teman temanku beli buku mahal sekolah ga support sekolah daring;negative
dah eneg sama sekolah online;negative
gakuat sekolah online ayo kumpul;negative
jujur gakuat sekolah online;negative
lihat sekolah online kasian banget;negative
saya gakuat lagi sekolah daring allah;negative
sekolah online ga pinter bodoh;negative
sekolah online lelah;negative
sekolah online bikin punggung sakit;negative
tidak semangat sekolah online;negative
gasuka sekolah online;negative
gak enak sekolah online gak kasih tugas;negative
gaenak banget daring pakai web sekolah;negative
bodo amat dengan sekolah daring;negative
eh maaf kalau pribadi perintah jaga image kementrianya yang buka sekolah daring;negative
coba saja kalau tidak ada uang sekolah online sudah saya ceramahin beneran;negative
bye sekolah online;negative
bosen sekolah online tidak bisa silaturahmi;negative
bosen saya sekolah online tugas nya tidak sebanding lebihin;negative
benar kang juga repot anak sekolah online pakai koneksi seluler;negative
beli paket data ajar pandemi sekolah online mahal;negative
asli sekolah online bikin sakit jantung;negative
andai kemkominfo aktif ide sekolah online selesai;negative
anak sekolah online pusing;negative
akibat sekolah online pinter tidak goblok iya;negative
sekolah online bikin leher punggung saya sakit;negative
sekolah online bikin muak;negative
sekolah online bikin saya makan tidur gak atur jujur;negative
sekolah online malas ngerjain tugas;negative
sekolah online ngejar nilai bukan ilmu;negative
sekolah online otak konslet;negative
sekolah online tugas ngadi ngadi saja;negative
sudah capek banget sekolah online;negative
ponakan sekolah online pusing ngajarin;negative
saya gabetah daring;negative
saya ngajarin anak sekolah online saja sudah dongkol ngeselin;negative
sedih sekolah online saja bego;negative
seko saja kadang nggak masuk bagaimana sekolah online;negative
sekolah daring stres gue;negative
sekolah online adek ribet;negative
sekolah online dijelasin tidak kasih tugas iya;negative
sekolah online iya bikin emosi;negative
ide nya sih sekolah online aduh;negative
sekolah online payah;negative
sudah muak banget sekolah online anjing;negative
