tweet;sentiment
aneh;negative
anjing;negative
anjing bodoh;negative
anjing bodoh;negative
anjing nangis;negative
bangsat;negative
bangsat kesel;negative
bego;negative
bego;negative
bego;negative
bego;negative
bego;negative
bego;negative
bego anjing;negative
benci;negative
benci;negative
benci;negative
benci;negative
benci;negative
benci;negative
berat;negative
berisik;negative
berisik kucel betot;negative
bobrok;negative
bobrok;negative
bodoh;negative
bodoh;negative
bodoh;negative
bodoh;negative
bodoh;negative
bodoh;negative
bodoh;negative
bodoh;negative
bodoh;negative
bodoh;negative
bodoh;negative
bodoh;negative
bodoh;negative
bodoh;negative
bodoh;negative
bodoh;negative
bodoh;negative
bodoh;negative
bodoh;negative
bodoh;negative
bodoh;negative
bodoh;negative
bodoh;negative
bodoh;negative
bodoh;negative
bodoh;negative
bodoh;negative
bodoh bobrok;negative
bodoh miskin;negative
bolos;negative
bosan;negative
bosan;negative
bosan;negative
bosen;negative
bosen;negative
bosen;negative
bosen;negative
capek;negative
capek;negative
capek;negative
capek;negative
capek;negative
capek;negative
capek;negative
capek;negative
capek;negative
capek;negative
capek;negative
capek;negative
capek;negative
capek;negative
capek;negative
capek;negative
capek anjing;negative
capek bego;negative
capek bingung;negative
capek bodoh;negative
capek capek;negative
capek capek maksa;negative
capek capek pusing;negative
capek ganggu;negative
capek jujur capek;negative
capek miskin bodoh;negative
capek pegal;negative
capek sakit;negative
capek sakit;negative
capek salah;negative
capek stress;negative
capek stress sakit;negative
capek tertekan;negative
capek tertekan;negative
cepat pusing;negative
drop;negative
emosi;negative
gaenak;negative
gila;negative
gila;negative
habis capek;negative
kasihan;negative
kesal;negative
kesal;negative
kesal susah dijelasin;negative
kesal susah takut kosong;negative
kesel;negative
kesel pusing marah;negative
lelah;negative
malas;negative
malas;negative
males;negative
males;negative
males;negative
males;negative
males;negative
males;negative
males;negative
males;negative
males;negative
males;negative
males anjing hypocrite;negative
males bodoh;negative
males bodoh;negative
males capek;negative
males capek;negative
males jancok;negative
marah;negative
miskin;negative
muak;negative
muak;negative
muak;negative
muak;negative
muak gajelas;negative
nangis;negative
ngantuk;negative
ngeluh males;negative
nyerah;negative
parah contek;negative
pindah capek;negative
pinter bodoh;negative
pusing;negative
pusing;negative
pusing;negative
pusing;negative
pusing;negative
pusing;negative
pusing;negative
pusing;negative
pusing;negative
pusing;negative
pusing;negative
pusing;negative
pusing;negative
pusing;negative
pusing;negative
pusing;negative
pusing;negative
pusing;negative
pusing anjing;negative
pusing anjing;negative
pusing bingung;negative
pusing gajelas;negative
pusing pusing;negative
pusing pusing;negative
pusing sibuk pusing;negative
pusing turun;negative
ribet;negative
ribet;negative
ribet males;negative
ribut;negative
rontok stress;negative
salah kontol;negative
sebel pusing;negative
sesak capek kejam lelah;negative
siksa benci;negative
stres nolep;negative
stress;negative
stress;negative
stress;negative
stress;negative
stress;negative
stress;negative
stress;negative
stress;negative
stress anjing;negative
stress pusing;negative
susah;negative
susah;negative
susah bego bego;negative
terlambat;negative
tolol;negative
turun;negative
sebel pusing;negative
sesak capek kejam lelah;negative
siksa benci;negative
stres nolep;negative
stress;negative
absen;neutral
absen;neutral
ampun untung;neutral
aneh;neutral
apa turun;neutral
baju tidur;neutral
banyak ngeluh pusing;neutral
bayang;neutral
begadang ;neutral
belom;neutral
bener gapaham;neutral
beneran;neutral
berani buka;neutral
berarti tidur cepat;neutral
berat koreksi situasi sulit langkah ambil risiko paham;neutral
berkumpul asuh;neutral
bingung boleh nyawa riskan;neutral
bingung pendek paham hindar sebar paksa;neutral
bingung pintar dijelasin ngeluh tinggal tidur suruh kerjain;neutral
bingung senang sedih beneran parah;neutral
bismillah;neutral
bobo;neutral
bobo;neutral
bobo ngantuk;neutral
bobok ;neutral
bocah ngada;neutral
boleh;neutral
bolos;neutral
bolos;neutral
bolos;neutral
bolos;neutral
bolos;neutral
brainly google;neutral
buka;neutral
buka youtube streaming;neutral
butuh gratis;neutral
butuh serba khusus akses;neutral
byebye;neutral
capek;neutral
capek suruh ngumpulin;neutral
capek takut;neutral
cari perhatian;neutral
coba;neutral
coba curhat;neutral
coba sebutin kendala kritik ngajar bantu kasih;neutral
cuman  jelasin;neutral
daya;neutral
definisi tumbuh;neutral
diajarin kuis allah derita;neutral
dilema buka positif akses batas;neutral
dilema buka positif batas;neutral
dilema listrik taat pulang kumpul bareng;neutral
diterapin mati;neutral
drama;neutral
drama nemenin ngajarin ngarahin ngerjain;neutral
efek;neutral
enak ngajar sesuai sehat jelasin balas;neutral
enak rebah tidur;neutral
gara gara;neutral
gara gara capek;neutral
gasuka;neutral
gimana;neutral
gimana ;neutral
habis;neutral
habis;neutral
habis;neutral
halo;neutral
harap maklum lulus;neutral
henti;neutral
hidup;neutral
hilang;neutral
inget;neutral
istirahat;neutral
jajan;neutral
jarang;neutral
jarang;neutral
jarang;neutral
jelasin;neutral
jujur ketemu bawa capek;neutral
kabar;neutral
kabur;neutral
kaga;neutral
kasi setor;neutral
kasi suruh paham suruh absen;neutral
kaya libur;neutral
kena;neutral
kena kalah uang jual pusing;neutral
kerja;neutral
kerja;neutral
ketiduran;neutral
kontrol;neutral
lancar;neutral
lawak lagu;neutral
libur;neutral
libur;neutral
makan;neutral
mati pulau;neutral
mbayar;neutral
mimpi;neutral
muak;neutral
nemenin;neutral
ngadu;neutral
ngajarin;neutral
ngantuk;neutral
ngantuk;neutral
ngejar ngejar;neutral
ngeluh kaya males nonton;neutral
ngemil;neutral
nongkrong;neutral
nonton;neutral
normal;neutral
nuntut males;neutral
otak;neutral
paham;neutral
pemasukan;neutral
penasaran;neutral
rangkum;neutral
ready;neutral
rebahan;neutral
salah salah manusia salah;neutral
santai;neutral
santai;neutral
selamat;neutral
selamat kebelet buang;neutral
semangat capek;neutral
serasa robot;neutral
serius anaknya;neutral
serius doang ngadain;neutral
serius ngerasain;neutral
serius ngerasain;neutral
setuju setuju enak ;neutral
sibuk tumpuk;neutral
siklus tidur;neutral
suka;neutral
